name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency;salary
Business Analyst/Senior Business Analyst;SoftServe;N/A;data analyst;Zdalna;N/A;11000;21500;PLN;
Power BI Developer / Data Analyst;Objectivity;N/A;data analyst;Zdalna;N/A;14000;20000;PLN;
Junior Data Analyst;Coinfirm;N/A;data analyst;Zdalna;N/A;3100;5000;PLN;
Data Analyst;Packhelp;N/A;data analyst;Warsaw;POL;13000;15000;PLN;
Data analyst (analityk danych);Alterdata.io sp. z o.o.;N/A;data analyst;Zdalna;N/A;12000;18000;PLN;
Junior Application Consultant;Syncron Sp. z o.o.;N/A;data analyst;Zdalna;N/A;5500;8300;PLN;
Junior Data Analyst;Colliers Poland;N/A;data analyst;Warszawa;POL;8500;12000;PLN;
Data Business Analyst (Remote);Mindbox;N/A;data analyst;Zdalna;N/A;21000;25095;PLN;
Data Analyst - 100% REMOTE;AVENGA;N/A;data analyst;Zdalna;N/A;18480;21840;PLN;
UX Researcher;NOVOMATIC Technologies Poland S.A.;N/A;data analyst;Zdalna;N/A;10080;18970;PLN;
Data Analyst and Developer;Schneider Electric;N/A;data analyst;Zdalna;N/A;16149;24234;PLN;
Digital Marketing Business Analyst;Elitmind;N/A;data analyst;Zdalna;N/A;14000;21000;PLN;
Data Analyst;Onelo S.A.;N/A;data analyst;Zdalna;N/A;13650;23100;PLN;
Javascript Developer;Sigma IT Polska;N/A;data analyst;Zdalna;N/A;20000;22340;PLN;
Senior Data Analyst;Devire;N/A;data analyst;Zdalna;N/A;18000;24000;PLN;
Data Analyst - ML Platform;FLYR Poland sp.z.o.o;N/A;data analyst;Kraków;POL;10000;16000;PLN;
Junior Data Analyst;John Leggy;N/A;data analyst;Warszawa;POL;5000;7000;PLN;
Business Analyst;Link Group;N/A;data analyst;Zdalna;N/A;13440;25200;PLN;
Data Analyst;John Leggy;N/A;data analyst;Warszawa;POL;7000;12000;PLN;
Product Data Analyst;Jamf;N/A;data analyst;Zdalna;N/A;6500;8500;PLN;
Data Analyst;Devire Sp. z o.o.;N/A;data analyst;Warsaw;POL;10000;20000;PLN;
Junior Data Analyst;ALTEN Polska;N/A;data analyst;Gdańsk;POL;;;;
Product Data Analyst;No Fluff Jobs;N/A;data analyst;Zdalna;N/A;12000;18000;PLN;
UI Designer;HL Tech;N/A;data analyst;Zdalna;N/A;8000;11000;PLN;
Data Analyst (Private Equity);Devire;N/A;data analyst;Warsaw;POL;12000;18000;PLN;
Sales Development Representative;Netguru;N/A;data analyst;Zdalna;N/A;5000;7600;PLN;
Data Analyst;BlueSoft Sp. z o.o.;N/A;data analyst;Zdalna;N/A;15120;21840;PLN;
Senior Product Designer;Netguru;N/A;data analyst;Zdalna;N/A;16800;24500;PLN;
Data Analyst;Secret Sauce Partners, Inc.;N/A;data analyst;Zdalna;N/A;8799;17598;PLN;
Data Engineer;Link Group;N/A;data engineer;Zdalna;N/A;19169;31150;PLN;
Data Warehouse Engineer;Zonda Exchange;N/A;data engineer;Zdalna;N/A;17000;32000;PLN;
Lead Data Engineer  (Remote);Mindbox;N/A;data engineer;Zdalna;N/A;29400;32550;PLN;
Data Engineer;STX Next;N/A;data engineer;Zdalna;N/A;16800;25200;PLN;
Azure Data Engineer with PySpark;Lingaro;N/A;data engineer;Zdalna;N/A;26880;30240;PLN;
Data Engineer (SQL, Python, Cloud);Alterdata.io sp. z o.o.;N/A;data engineer;Zdalna;N/A;14000;22000;PLN;
Remote Senior AWS Data Engineer;ClearScale;N/A;data engineer;Zdalna;N/A;28000;38000;PLN;
DWH/Big Data Engineer;Sii Polska;N/A;data engineer;Zdalna;N/A;21000;26250;PLN;
Senior Data Analytics Engineer;Coforge;N/A;data engineer;Zdalna;N/A;46200;46200;PLN;
Middle/Senior Data Engineer (Python);Provectus;N/A;data engineer;Zdalna;N/A;10923;21847;PLN;
Senior Scala Big Data Engineer;Altimetrik Poland;N/A;data engineer;Zdalna;N/A;20000;28000;PLN;
Senior Data Engineer;Coople;N/A;data engineer;Zdalna;N/A;18000;33000;PLN;
Data Engineer;GetInData;N/A;data engineer;Zdalna;N/A;20160;30240;PLN;
Data Engineer;GetInData;N/A;data engineer;Zdalna;N/A;20160;30240;PLN;
Data Scientist / ML Engineer;SpyroSoft;N/A;data engineer;Wroclaw;"POL
 + 4";18480;21840;PLN;
Data Engineer;Devire;N/A;data engineer;Zdalna;N/A;13440;18480;PLN;
Remote Data Science Engineer;apreel Sp. z o.o.;N/A;data engineer;Zdalna;N/A;20160;28560;PLN;
Data Engineer;Shiji Poland;N/A;data engineer;Zdalna;N/A;15000;20000;PLN;
Data Engineer;Sollers Consulting;N/A;data engineer;Warszawa;"POL
 + 8";13000;18000;PLN;
BI Developer / Data Engineer;Objectivity;N/A;data engineer;Zdalna;N/A;17600;25000;PLN;
Data Engineer with Python;Lingaro;N/A;data engineer;Zdalna;N/A;13440;20160;PLN;
Senior Data Science Engineer;NavAlgo;N/A;data engineer;Zdalna;N/A;;;;
Junior Data Engineer;FOTC;N/A;data engineer;Zdalna;N/A;5500;7500;PLN;
SQL Data Engineer;Onelo S.A.;N/A;data engineer;Zdalna;N/A;13650;16800;PLN;
Mid Python Data Engineer;Acaisoft Poland Sp. z.o.o;N/A;data engineer;Zdalna;N/A;12000;19000;PLN;
Azure Data Engineer;Alterdata.io sp. z o.o.;N/A;data engineer;Zdalna;N/A;14000;22000;PLN;
